pickup_datetime,lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp,gearTime,HeartTime,GyroTime,RateTime,PressureTime,TempTime
2021-3-20 14:13:3,23.562125,120.4781,-1.67,2,14.26,8.57,128.0,29.71,51182,51182,51182,51182,51182,51182
2021-3-20 14:13:7,23.56191666666667,120.47803333333333,3.993333333333333,2,14.353333333333333,7.45,127.0,29.62,51188,51188,51186,51186,51186,51188
2021-3-20 14:13:13,23.5615,120.47766,-1.642,2,14.818,7.326,65.0,29.62,51195,51195,51192,51192,51192,51195
2021-3-20 14:13:18,23.561433333333333,120.4776,8.735,2,15.4,7.0325,128.0,29.9,51200,51200,51197,51197,51197,51200
2021-3-20 14:13:21,23.5614,120.4776,-1.0899999999999999,2,15.243333333333334,7.8533333333333335,129.0,29.8,51203,51203,51201,51201,51201,51203
2021-3-20 14:13:25,23.561374999999998,120.477575,-3.08,2,14.435,8.995000000000001,127.0,29.62,51206,51206,51204,51204,51204,51206
2021-3-20 14:13:29,23.5613,120.4775,-0.15999999999999992,2,14.14,9.365,102.0,29.62,51210,51210,51208,51208,51208,51210
2021-3-20 14:13:33,23.561149999999998,120.47737500000001,-2.245,2,15.105,8.355,96.0,29.8,51214,51214,51212,51212,51212,51214
2021-3-20 14:13:37,23.56068,120.477,-0.3840000000000001,2,15.514,6.644,127.0,29.71,51218,51218,51216,51216,51216,51218
2021-3-20 14:13:42,23.5606,120.477,0.9650000000000001,2,15.814,6.51,129.0,29.53,51224,51224,51221,51221,51221,51224
2021-3-20 14:13:47,23.5606,120.47696666666667,-3.3599999999999994,2,16.67,7.6000000000000005,128.0,29.43,51228,51228,51227,51226,51227,51228
2021-3-20 14:13:50,23.56055,120.4769,-3.1333333333333337,2,17.01666666666667,6.866666666666666,103.0,29.8,51232,51232,51230,51230,51230,51232
2021-3-20 14:13:54,23.5605,120.4769,-0.994,2,16.496000000000002,6.4639999999999995,103.0,29.8,51235,51235,51233,51233,51233,51235
2021-3-20 14:13:59,23.560450000000003,120.47685,-3.9749999999999996,2,15.83,6.550000000000001,128.0,29.71,51241,51241,51238,51238,51238,51241
2021-3-20 14:14:3,23.5604,120.4768,-3.1799999999999997,2,16.296666666666667,7.0649999999999995,128.0,29.71,51245,51245,51244,51243,51244,51245
2021-3-20 14:14:7,23.560375,120.4768,-1.45,2,16.66,6.89,122.0,29.71,51248,51248,51246,51246,51246,51248
2021-3-20 14:14:11,23.56016,120.47666,-2.74,1,16.68,7.235,101.0,29.53,51252,51252,51251,51250,51251,51252
2021-3-20 14:14:16,23.5596,120.4761,-2.02,1,16.7125,10.34,101.0,29.62,51255,51255,51255,51254,51255,51255
2021-3-20 14:14:19,23.559583333333332,120.4761,0.8333333333333333,1,17.413333333333334,8.343333333333334,96.0,29.62,51260,51260,51258,51258,51258,51260
2021-3-20 14:14:25,23.5595,120.476,-1.01,1,18.44,7.72,127.0,29.9,51268,51268,51264,51264,51264,51268
2021-3-20 14:14:28,23.5595,120.476,-1.35,1,18.080000000000002,7.308,129.0,29.9,51270,51270,51268,51268,51268,51270
2021-3-20 14:14:33,23.559425,120.47592499999999,-2.295,1,17.689999999999998,6.81,130.0,29.8,51276,51276,51273,51273,51273,51276
2021-3-20 14:14:37,23.5594,120.4759,-2.048,1,16.516,6.362,127.0,29.8,51279,51279,51277,51277,51277,51279
2021-3-20 14:14:42,23.5594,120.4758,-5.5249999999999995,1,16.975,15.244999999999997,127.0,29.8,51285,51285,51282,51282,51282,51285
2021-3-20 14:14:45,23.559425,120.4758,-4.17,3,16.21,12.04,127.0,30.17,51284,51284,51284,51284,51284,51284
2021-3-20 14:14:52,23.5591,120.47605000000001,-1.01,3,14.68,8.05,126.0,30.08,51291,51291,51291,51291,51291,51291
2021-3-20 14:14:56,23.5601,120.4748,0.020000000000000018,3,14.344999999999999,8.095,127.0,29.8,51297,51297,51295,51295,51295,51297
